gene	Peak	P.value	Adj.Pvalue	Qvalue	chromo	start	end	strand	distance	model
Tmco3	chr8_189820	0.002840910640055	0.178207621061042	0.100338501369541	chr8	14536314	14537037	+	1248	circadian
Tmem255a	chrX_211879	0.0301625180193449	0.178262040455766	0.100351183476518	chrX	38431112	38431615	+	235	flat
Cdr2	chr7_186361	0.00346338374116729	0.178454595475809	0.100423644601745	chr7	120722653	120723290	+	234	flat
Zfyve1	chr12_48101	0.00130145288821801	0.178452383737685	0.100423644601745	chr12	86157941	86159382	+	2612	circadian
Snrpe	chr1_10533	0.00290794997121718	0.178627990382049	0.100485275586069	chr1	133199477	133200538	+	404	flat
Mdc1	chr17_91068	0.00342245484790568	0.178612871408547	0.100485275586069	chr17	35549377	35550119	+	292	flat
Oser1	chr2_124267	0.00288241737276509	0.178712913981863	0.1005150768683	chr2	163309077	163309803	+	96	flat
Tmem17	chr11_30310	0.0041064181020222	0.17877772374387	0.100533556716856	chr11	21885277	21885913	+	626	circadian
Nrxn1	chr17_95577	0.00904170110144987	0.178830964363224	0.100545525351605	chr17	91092336	91093889	+	1059	flat
Ccnt2	chr1_9922	0.0106063202667876	0.179007640134557	0.100617788349867	chr1	127838285	127839100	+	65	sleep
Megf11	chr9_205514	0.00892480530882818	0.179023451619767	0.100617788349867	chr9	64989923	64990661	+	605	flat
Cep57l1	chr10_20477	0.00474037283099603	0.179267252629843	0.100736818372889	chr10	42678521	42679541	+	960	flat
Plppr1	chr4_142290	0.0129718152897467	0.179312458654509	0.100744228035846	chr4	49058727	49060335	+	0	NA
Them4	chr3_132994	0.00219252321423222	0.179743653246955	0.100950435034684	chr3	95499476	95500436	+	1190	flat
Hs3st4	chr7_186768	0.00517677039710349	0.179719097575709	0.100950435034684	chr7	124836052	124837226	+	854	flat
Letmd1	chr15_79882	0.00711909566959786	0.179851082050028	0.100992742895442	chr15	100091877	100092774	+	377	circadian
Otof	chr5_154370	0.00165266871447791	0.179995064536012	0.101055558179914	chr5	30949657	30950469	+	583	flat
2700097O09Rik	chr12_45317	0.0203523726317975	0.18008170082573	0.101068128843231	chr12	54834820	54835546	+	210	flat
Pdzd8	chr19_109044	0.00484962159799636	0.180070178447005	0.101068128843231	chr19	60408348	60408984	+	1113	flat
Lrrc1	chr9_206635	0.00172267528095251	0.18023998106021	0.101138920037491	chr9	76455580	76456148	+	975	circadian
Phf10	chr17_89310	0.00689533432812083	0.180321470715056	0.101166603804768	chr17	14587996	14588787	+	357	flat
Rbms3	chr9_210083	0.00241739330318448	0.18039472894011	0.101189660406375	chr9	114963890	114964767	+	1608	flat
Pex5l	chr3_128108	0.00582706386984042	0.18075389865553	0.101364835110138	chr3	33142309	33143838	+	194	circadian
Mks1	chr11_36965	0.0031612272367805	0.180771454338534	0.101364835110138	chr11	87801674	87802366	+	51	sleep
Pafah1b1	chr11_35617	0.00144486772892619	0.180813707916792	0.10137046177887	chr11	75732489	75733815	+	1059	flat
C1qa	chr4_149966	0.00371780266686128	0.180920051345433	0.101412011043496	chr4	137250612	137251495	+	355	flat
Ankib1	chr5_152272	0.0061768255144293	0.181083965242752	0.101451898105561	chr5	4323108	4323727	+	633	flat
Spock1	chr13_56075	0.00341599453402621	0.181087945280278	0.101451898105561	chr13	56352275	56353071	+	1069	flat
Rfc4	chr16_82252	0.010386120400246	0.181066016475317	0.101451898105561	chr16	23250310	23250994	+	137	flat
Phf3	chr1_2155	0.00335251100411083	0.181133020031509	0.101459084505685	chr1	33377054	33377854	+	2575	circadian
2310035C23Rik	chr1_8565	0.00447329257029644	0.181211539825296	0.101484998777687	chr1	105630393	105630998	+	33	sleep
Emx1	chr6_172015	0.00175894691647619	0.181328929244234	0.10152562801112	chr6	84892880	84893491	+	294	circadian
Kcna6	chr6_176521	0.00226860561524686	0.181348624231842	0.10152562801112	chr6	126599630	126600033	+	108	flat
Galnt1	chr18_97362	0.0118861454328383	0.181590308268213	0.101642845705766	chr18	24111985	24113046	+	93	sleep
Atp6v0b	chr4_147729	0.00253728289796129	0.181952822905739	0.101827643049686	chr4	118341318	118341979	+	457	flat
Setd2	chr9_209624	0.00705117851239925	0.181995398039258	0.101833356327424	chr9	110407540	110408781	+	124	sleep
Cd82	chr2_117493	0.00187201568407587	0.182302334431454	0.10194385520774	chr2	94184854	94185350	+	766	circadian
Tln1	chr4_141758	0.00185378408198273	0.182253173740542	0.10194385520774	chr4	44306527	44307148	+	775	circadian
Glcci1	chr6_166040	0.00701711424178051	0.182273800431808	0.10194385520774	chr6	8645741	8646102	+	136	flat
Prelid1	chr13_55849	0.00373308221490609	0.182354887191082	0.10194385520774	chr13	54693521	54694928	+	626	ampfree.step
Gfm2	chr13_59135	0.0047056909989403	0.182326812635576	0.10194385520774	chr13	97197846	97198649	+	60	flat
Carmil3	chr14_65638	0.00279065533398587	0.182400466124649	0.101951220699396	chr14	55372785	55373508	+	118	NA
Hcfc1	chrX_212719	0.00683904722051797	0.18247747239601	0.10197614650305	chrX	74269710	74271049	+	328	flat
Mfsd6	chr1_3996	0.00277413306559637	0.182629002612852	0.101986790221235	chr1	52578097	52579054	+	78	circadian
Fam102b	chr3_134557	0.00319496166180301	0.182595544924003	0.101986790221235	chr3	108831683	108832152	+	139	sleep
Gm1673	chr5_154696	0.00547825618359941	0.182632630282834	0.101986790221235	chr5	34274316	34274642	+	291	flat
Pgr	chr9_200179	0.00359873801909957	0.182658593467599	0.101986790221235	chr9	10225779	10226411	+	1326	flat
Otx1	chr11_30306	0.00449602899067241	0.182626825810731	0.101986790221235	chr11	21846700	21847653	+	148	flat
Tnfsf12	chr11_34980	0.0035110906413991	0.182699867710031	0.101991735863978	chr11	69695045	69696229	+	9	flat
Mettl13	chr1_13357	0.00725825068050718	0.182828576704765	0.102032247334741	chr1	162529590	162530104	+	2	circadian
Rpl10-ps3	chr9_203744	0.00491617323537053	0.18283729565038	0.102032247334741	chr9	49227376	49227997	+	1117	flat
Mydgf	chr17_92483	0.00381012867094248	0.182892360843577	0.102044876952485	chr17	56427661	56428274	+	252	flat
Arl4c	chr1_7352	0.00358473830042476	0.183032535579205	0.102050698294041	chr1	88658193	88658823	+	15	flat
Tbc1d20	chr2_123217	0.00161340178040749	0.183009195520002	0.102050698294041	chr2	154243226	154243889	+	1950	circadian
Rab3a	chr8_194005	0.00139887397239294	0.182973149532642	0.102050698294041	chr8	70351288	70351654	+	403	flat
Afap1l2	chr19_108692	0.00529078644241188	0.183027422416534	0.102050698294041	chr19	56977477	56978149	+	65	circadian
Psmg1	chr16_88053	0.00271727015310306	0.183203440820163	0.102127889203956	chr16	95696216	95697141	+	283	flat
Herc6	chr6_170275	0.00262215532198777	0.183293832201148	0.102160177768031	chr6	58538440	58539073	+	958	sleep
Nfix	chr8_195379	0.00515222653260103	0.183438767548471	0.102207528187269	chr8	84775030	84775610	+	75	flat
Atp5a1	chr18_103108	0.00282947066517224	0.18344375775646	0.102207528187269	chr18	80200253	80201119	+	2427	flat
Hnrnpr	chr4_149859	0.00357361509693758	0.18360073419309	0.102276877463176	chr4	136518168	136518768	+	208	sleep
Lclat1	chr17_93888	0.00867512131615228	0.183863176902971	0.102404942973246	chr17	73237366	73237941	+	130	circadian
Bst2	chr8_193968	0.00147273125383143	0.183924189773138	0.102418162166141	chr8	70124976	70125343	+	1409	flat
Cxcl14	chr13_56091	0.00315913749938456	0.183952015566366	0.102418162166141	chr13	56521882	56523062	+	234	flat
Mettl15	chr2_118732	0.00314260922994031	0.184179523684479	0.102472296948694	chr2	109676189	109676443	+	584	flat
Fam214b	chr4_141607	0.00203931013783984	0.184171185702278	0.102472296948694	chr4	43182238	43183225	+	150	flat
Rsph10b	chr5_164905	0.00361764793180686	0.184166818698442	0.102472296948694	chr5	144585002	144585716	+	652	circadian
Spsb3	chr17_89627	0.00201879742725991	0.184139719176387	0.102472296948694	chr17	24632312	24633337	+	254	ampfree.step
Tead1	chr7_185631	0.00607040063701354	0.184407788957522	0.102581157410234	chr7	112840834	112841754	+	162	ampfree.step
Lamc3	chr2_112006	0.00276994482907387	0.184469932990663	0.102596704471288	chr2	32488680	32489119	+	602	flat
Slc39a13	chr2_116977	0.00320734853971733	0.184500955280826	0.102596704471288	chr2	90885318	90886235	+	176	flat
Scrg1	chr8_192984	0.00831013890228353	0.1846686545114	0.102642234943996	chr8	57456951	57457762	+	1	flat
Plscr3	chr11_34877	0.0035879376771101	0.184617982223732	0.102642234943996	chr11	69098693	69099010	+	748	sleep
Pnpla8	chr12_44525	0.0118500989361455	0.184680703314591	0.102642234943996	chr12	44380517	44381441	+	160	circadian
Cdk16	chrX_211745	0.0139827467258859	0.184892511541124	0.102741805115777	chrX	20819121	20820368	+	132	flat
Zbtb8os	chr4_148823	0.00214412454674743	0.184936349853212	0.102748018415347	chr4	128727159	128727670	+	608	circadian
Stk3	chr15_73405	0.0061598065958204	0.185079605524439	0.102791306463995	chr15	36111450	36112102	+	1236	flat
Lrfn4	chr19_104161	0.00174696369309709	0.18505199572767	0.102791306463995	chr19	5487800	5489519	+	877	flat
Snrpc	chr17_90051	0.0017312172816357	0.185233062981934	0.102858378336402	chr17	27422688	27423433	+	417	flat
Fbxo31	chr8_198774	0.0105337058560863	0.185350585914398	0.102889819453845	chr8	120796140	120796764	+	753	ampfree.step
Phf20l1	chr15_75913	0.00302368357885782	0.185355087940735	0.102889819453845	chr15	66926796	66927416	+	350	flat
B3galt1	chr2_115166	0.00539846596674038	0.185424254472937	0.10291005717488	chr2	68361521	68362296	+	796	flat
Gabrg3	chr7_181449	0.00560723477319052	0.185495282881896	0.102931320912685	chr7	57491682	57492403	+	776	flat
Lmo1	chr7_185233	0.00961401342839308	0.185781334118918	0.103036157667092	chr7	109191317	109192048	+	53	flat
Plcd3	chr11_38613	0.00209571919193893	0.185781569495486	0.103036157667092	chr11	102466022	102466577	+	604	sleep
Kalrn	chr16_83290	0.00271417358965382	0.185782457612189	0.103036157667092	chr16	32992088	32992911	+	982	sleep
Gtf2b	chr3_137461	0.00342253852511473	0.18584268716656	0.103051396130975	chr3	144141570	144142309	+	1377	flat
Prkcz	chr4_152033	0.00159297755308125	0.185914471158604	0.103073035132269	chr4	155122187	155123262	+	137	circadian
Igsf21	chr4_150536	0.00393448292286672	0.186049486199793	0.103129182349784	chr4	140713732	140714686	+	687	flat
Polr1a	chr6_171151	0.00481327019842854	0.186114079101363	0.103129182349784	chr6	72454088	72455039	+	546	flat
Rcbtb2	chr14_67505	0.0144071208369261	0.186106472278769	0.103129182349784	chr14	73252203	73252861	+	129	flat
Fam208a	chr14_63401	0.00756910994378955	0.186198757997358	0.103157936454144	chr14	27228164	27229492	+	200	circadian
Eif3b	chr5_164401	0.00572366476762611	0.18623724281005	0.103161092468559	chr5	140193919	140194781	+	225	flat
Rabgap1l	chr1_13001	0.00525478207809311	0.186364115803317	0.103213198999906	chr1	159499822	159500705	+	719	flat
Grm7	chr6_174885	0.00314765780451809	0.186513743578892	0.103271379868383	chr6	112091158	112091668	+	1446	flat
Tubgcp3	chr8_189531	0.00864568579043678	0.186534815112268	0.103271379868383	chr8	12429988	12430654	+	184	flat
Trip12	chr1_6926	0.00615022769686235	0.186723145251264	0.103357458064778	chr1	84551874	84552504	+	169	flat
Rad17	chr13_59434	0.00621028057887326	0.186783510252303	0.103372685487323	chr13	99412537	99413107	+	1204	flat
Uck1	chr2_111808	0.0028182401729001	0.186949408211028	0.103446303001071	chr2	31263556	31264403	+	991	flat
Rhbdd3	chr11_29255	0.00328060085909732	0.18698542216852	0.103448037445681	chr11	6120481	6121130	+	1022	flat
Csmd2	chr4_148788	0.00177113021604339	0.187083621080119	0.103484168510034	chr4	128476302	128477197	+	489	sleep
Sp100	chr1_7027	0.00288035913073796	0.187343962620451	0.103599765499986	chr1	86044880	86045424	+	395	flat
Entpd2	chr2_110965	0.00296903724216737	0.187358458183757	0.103599765499986	chr2	25228457	25228923	+	167	flat
Zeb2	chr2_113093	0.00352871263488773	0.187432911875325	0.103622723256489	chr2	44556660	44558402	+	426	circadian
Atf6b	chr17_91106	0.00380034176173459	0.187669473025922	0.103735278688631	chr17	35776652	35777850	+	1130	sleep
Nmb	chr7_183145	0.00158312905599759	0.187786159920929	0.103781545098989	chr7	79934520	79935857	+	967	flat
Fktn	chr4_142711	0.00497331271861963	0.187930113887109	0.10382462793929	chr4	55057920	55059476	+	1345	ampfree.step
Gm17018	chr19_107633	0.00914538999903369	0.18790082070493	0.10382462793929	chr19	45343864	45344399	+	216	NA
Akap12	chr10_16975	0.00648652387196957	0.188150857604551	0.103910089212184	chr10	3397898	3398698	+	868	ampfree.step
Pa2g4	chr10_28554	0.00237711671605364	0.188120450674074	0.103910089212184	chr10	127070725	127071360	+	1487	flat
Ralgds	chr2_111360	0.00475777961662425	0.188312564286655	0.103981143062403	chr2	28169041	28169932	+	344	circadian
Apba1	chr19_105631	0.00714803682301774	0.188429259845701	0.104027322404272	chr19	23563387	23564344	+	195	flat
Cpox	chr16_85369	0.00519000567283719	0.188466516202148	0.104029636738546	chr16	57412617	57413345	+	1257	flat
Klhdc7a	chr4_150523	0.00344897443293512	0.188712914066383	0.104147371817951	chr4	140647652	140648362	+	688	flat
Pbx1	chr1_14144	0.00223013201863575	0.188777421887221	0.104164701257702	chr1	169821856	169822567	+	1703	flat
Nudt11	chrX_211272	0.00452605992057461	0.188820127548285	0.104169996607354	chrX	7634941	7635591	+	1588	sleep
Gm29609	chr5_154495	0.00188818356165595	0.189179971369289	0.104350221076662	chr5	32303098	32303695	+	1159	flat
Mospd3	chr5_164070	0.00585229608906425	0.189307680152168	0.104402360902486	chr5	137036129	137036535	+	560	flat
Fhit	chr14_61550	0.00237147496780197	0.189540534714881	0.10449414670029	chr14	8026903	8027499	+	1523	NA
Rad9a	chr19_104040	0.00194687755469802	0.189529327471667	0.10449414670029	chr19	4610125	4610684	+	415	flat
Cbln1	chr8_195736	0.00569659625563554	0.18959663846421	0.104506764798788	chr8	88150739	88151547	+	683	flat
Trnt1	chr6_174529	0.00813569640600995	0.189697552023722	0.104544073577262	chr6	108074473	108075162	+	1306	flat
Rasa2	chr9_208142	0.00696292325866159	0.189824515851394	0.104579218160511	chr9	96844376	96845471	+	306	ampfree.step
Flrt2	chr12_48748	0.00296013267958849	0.189827800608515	0.104579218160511	chr12	95675537	95676230	+	16	circadian
Ube2n	chr10_25561	0.0119598060521321	0.189935942815884	0.104602163638211	chr10	95615809	95616931	+	101	flat
Phactr1	chr13_54351	0.0022471556569931	0.189933591462265	0.104602163638211	chr13	41822443	41823483	+	858	circadian
Itpkb	chr1_15385	0.00794558443553007	0.190200212623275	0.104661307054736	chr1	180725241	180726598	+	395	sleep
Gm14403	chr2_125691	0.0037467888982226	0.190153582889476	0.104661307054736	chr2	177497859	177498519	+	0	flat
Grik3	chr4_148473	0.00792161362393648	0.190242925464741	0.104661307054736	chr4	125824184	125825093	+	334	circadian
Sez6l	chr5_161011	0.00359245003237701	0.190217899567656	0.104661307054736	chr5	112707311	112707999	+	289	circadian
Cdipt	chr7_186923	0.00507107466008651	0.190164709364089	0.104661307054736	chr7	126482431	126482985	+	493	flat
Cd200	chr16_84580	0.0131389255613805	0.190156156550384	0.104661307054736	chr16	45256767	45257841	+	125	sleep
Gdpd5	chr7_184686	0.00318337436313361	0.190330193055653	0.104691011110654	chr7	99876251	99877013	+	495	flat
Zfp3	chr11_35058	0.00872925752137803	0.190404386670781	0.104713514706645	chr11	70403555	70404148	+	360	flat
Prcp	chr7_184081	0.0183760280406407	0.190484923038844	0.104739498045085	chr7	92668821	92670742	+	205	sleep
Astn1	chr1_12915	0.00514143252648464	0.190524215517074	0.104742798017889	chr1	158489468	158490065	+	127	flat
Selenoo	chr15_78640	0.00712328955376957	0.190630541651225	0.10478294289433	chr15	88843511	88844115	+	245	NA
Nwd1	chr8_194360	0.00400866855626074	0.190955598139895	0.104910395635233	chr8	73160764	73161491	+	514	circadian
Azi2	chr9_210347	0.0200832852703605	0.190972504634225	0.104910395635233	chr9	118108716	118109245	+	68	sleep
Gjc1	chr11_38318	0.00202420454097961	0.190995792075459	0.104910395635233	chr11	100563957	100564815	+	2235	circadian
Lmbrd2	chr15_71452	0.0144305035974375	0.190921473643044	0.104910395635233	chr15	9527967	9528815	+	388	flat
Psd3	chr8_193716	0.00979586439415191	0.191069730437623	0.104932689332242	chr8	67877343	67878201	+	189	flat
Nol9	chr4_151557	0.00575745166747573	0.191142431277564	0.104954295737438	chr4	151640756	151641439	+	398	flat
Samd14	chr11_37575	0.00201387421225819	0.191181062202952	0.104957190435473	chr11	94412983	94414437	+	596	circadian
Sik3	chr9_203374	0.0184788735488449	0.19137838627973	0.105035009525151	chr9	45984484	45985497	+	28	flat
Scaf11	chr15_79412	0.0106735337769183	0.19138957850478	0.105035009525151	chr15	96332367	96333506	+	79	flat
Mgat2	chr12_46355	0.00233050570914131	0.191654550740947	0.105162083564039	chr12	70967980	70969244	+	1784	circadian
Cpa2	chr6_167578	0.0034365074472172	0.19170341892936	0.105170556284111	chr6	31088140	31089327	+	547	NA
Npl	chr1_12357	0.00686615184499128	0.191791238296486	0.105198060535964	chr1	154117404	154118955	+	615	flat
Col25a1	chr3_136218	0.00668187829341207	0.191899665084705	0.105198060535964	chr3	130432539	130433354	+	301	circadian
Tmem50a	chr4_149637	0.00987425338979843	0.191851368309089	0.105198060535964	chr4	134624098	134624644	+	273	flat
Atf5	chr7_180648	0.00154781211947137	0.191920731632583	0.105198060535964	chr7	44929088	44930243	+	117	flat
Tbce	chr13_52060	0.00654673608550674	0.19191522288639	0.105198060535964	chr13	14602608	14603486	+	605	flat
2810039B14Rik	chr15_76772	0.00526934817962411	0.192192169925705	0.10532849487332	chr15	74901324	74901810	+	741	flat
Zfp667	chr7_178794	0.00423720074141378	0.192358886295623	0.105401502244745	chr7	4684312	4685538	+	1602	sleep
Swt1	chr1_11893	0.00710092745770523	0.192526440124958	0.105438224124447	chr1	150504292	150505009	+	863	circadian
Cfap97	chr8_192276	0.00421974371102962	0.192494422939603	0.105438224124447	chr8	46429540	46430472	+	278	flat
Gnao1	chr8_196218	0.00759124225076096	0.192501573263549	0.105438224124447	chr8	93661549	93662522	+	148	flat
Slc2a13	chr15_78908	0.00391109045300754	0.192594897632008	0.105446441489989	chr15	91494968	91495451	+	228	flat
Zcrb1	chr15_79076	0.0060439470835346	0.192641988576999	0.105446441489989	chr15	93336814	93338023	+	49	flat
Epg5	chr18_103069	0.00264058597611653	0.192618655646583	0.105446441489989	chr18	79665538	79666114	+	1727	flat
Inha	chr1_6319	0.00214104747293667	0.192737713487043	0.10545913555848	chr1	77823740	77825073	+	2317	flat
Neurod1	chr2_116468	0.00539354427924562	0.192865952355693	0.10545913555848	chr2	80275054	80275562	+	823	circadian
Pcif1	chr2_124794	0.00251572082959484	0.192866291476097	0.10545913555848	chr2	166805025	166806234	+	1926	circadian
Sf3a2	chr10_23941	0.00172913352944211	0.192843490094459	0.10545913555848	chr10	80578465	80578692	+	220	flat
Mbd6	chr10_28597	0.00250949269573876	0.192795564771456	0.10545913555848	chr10	127288375	127289623	+	7	flat
Scube1	chr15_78072	0.0102905066381344	0.192713957474163	0.10545913555848	chr15	84079351	84080067	+	477	mix
Pear1	chr3_132140	0.00474331121893834	0.192946416820168	0.105484615635639	chr3	86546536	86547482	+	1201	flat
Atp6v1f	chr6_167412	0.00321515433694692	0.193158149639281	0.105568178969001	chr6	29649520	29650127	+	182	flat
Retsat	chr6_171130	0.00484939089234757	0.193166372691635	0.105568178969001	chr6	72347087	72347868	+	251	flat
Rala	chr13_52493	0.00213684662152764	0.193210251130219	0.105573820822233	chr13	20241797	20242662	+	2362	flat
Pde1b	chr15_80328	0.00488466487537069	0.193269983933385	0.105588122343542	chr15	103511690	103512006	+	9	sleep
Coa5	chr1_2614	0.00408871531734852	0.193319945589462	0.105597081609023	chr1	36813389	36814056	+	603	flat
Otub1	chr19_104443	0.00381153045271464	0.193477535036125	0.105664817047268	chr19	7422005	7422645	+	224	flat
Arvcf	chr16_81765	0.00219424118742921	0.193541288284651	0.105681290654082	chr16	17921305	17922560	+	426	flat
Rnf13	chr3_130048	0.00622623042393646	0.193617283327409	0.105704441893646	chr3	58415916	58417391	+	681	flat
Fgfr2	chr7_187423	0.00632762667173589	0.193665981059487	0.105712684847754	chr7	131817626	131818516	+	1656	circadian
Abce1	chr8_194908	0.013422232554505	0.193709642335674	0.105718176266792	chr8	80174944	80175811	+	492	flat
Slc39a3	chr10_23878	0.0016662824958501	0.193957172971669	0.105834909386509	chr10	80208740	80209350	+	819	flat
Ncstn	chr1_14432	0.00274270707139455	0.194053092904872	0.105850533762815	chr1	171713741	171714201	+	352	circadian
Prpf40a	chr2_113897	0.0173674787248171	0.194051317219027	0.105850533762815	chr2	53190754	53192694	+	57	flat
Lasp1	chr11_38063	0.00476080446734581	0.19413038187299	0.105874337265226	chr11	98333170	98333679	+	534	ampfree.step
Nmnat1	chr4_150956	0.00222527837408199	0.194197260025437	0.10589245567653	chr4	147897299	147898124	+	1570	flat
Morn2	chr17_94383	0.00328864769532427	0.19457876433079	0.106082098358889	chr17	79920005	79920724	+	370	flat
Ano6	chr15_79381	0.0118781620849709	0.19470438703625	0.106132195801692	chr15	95930978	95931905	+	141	flat
Klf9	chr19_105564	0.00928038485755836	0.194748479248476	0.106137841803144	chr19	23056784	23058135	+	84	mix
D430041D05Rik	chr2_118271	0.00560813901297467	0.194830333515127	0.106146841514223	chr2	104283361	104283938	+	141	flat
Spa17	chr9_202474	0.00336060450219642	0.194832466939591	0.106146841514223	chr9	37530007	37531315	+	73	flat
Bex1	chrX_213804	0.0117467227375965	0.19488858439122	0.106159032394196	chrX	135597875	135598891	+	616	flat
Col9a3	chr2_125747	0.00160041267281336	0.195156647956417	0.106205439714132	chr2	178296990	178297811	+	2300	flat
Gm44429	chr6_174085	0.00809337588457104	0.195069589971764	0.106205439714132	chr6	101931667	101932402	+	1005	NA
Ptpdc1	chr13_55315	0.00233718760020557	0.195097000803675	0.106205439714132	chr13	49283440	49284239	+	706	flat
Polr2d	chr18_97984	0.00652505322162337	0.19508327693298	0.106205439714132	chr18	31609294	31610477	+	179	flat
Ier3ip1	chr18_102722	0.0321853110670553	0.195176314840099	0.106205439714132	chr18	76970496	76971202	+	41	flat
Haus1	chr18_102804	0.00972590709505397	0.195111617634368	0.106205439714132	chr18	77504796	77505417	+	252	sleep
Lancl1	chr1_5471	0.0102603595991501	0.195227422866155	0.106214880290956	chr1	67033324	67034082	+	33	sleep
Chrm1	chr19_104529	0.00541176049950762	0.195348238402236	0.106262235917569	chr19	8952943	8954126	+	290	ampfree.step
Cspp1	chr1_236	0.00350385476584854	0.195520047673617	0.106337309088385	chr1	7088104	7089556	+	2949	flat
Ccdc107	chr4_141758	0.00206705231881202	0.195836515365861	0.106491017954485	chr4	44306527	44307148	+	814	flat
Ino80e	chr7_187006	0.00477669518739786	0.195896431258427	0.106494786014579	chr7	127112160	127112888	+	262	sleep
Sertad2	chr11_30266	0.00255642219284803	0.195944988250235	0.106494786014579	chr11	21224062	21225246	+	681	circadian
Ezr	chr17_88661	0.0371406052924764	0.195939764410887	0.106494786014579	chr17	6827200	6828590	+	90	mixedaf
Ttc1	chr11_32310	0.010536695301541	0.196152134982115	0.106588956546844	chr11	44229802	44230658	+	501	flat
Lhx6	chr2_112557	0.00473221657142527	0.196236548414801	0.106616412869044	chr2	36222465	36222885	+	141	mix
N4bp2	chr5_157287	0.00330815584169207	0.196290726091946	0.10662129869239	chr5	66323396	66324213	+	560	flat
Tnfrsf1a	chr6_176521	0.00270401751212159	0.196322030371239	0.10662129869239	chr6	126599630	126600033	+	1250	flat
Cdc42ep2	chr19_104165	0.00214216522073024	0.196347205255959	0.10662129869239	chr19	5529156	5529919	+	388	circadian
Gabrb3	chr7_181556	0.0101173439551785	0.196443860457585	0.10665537691239	chr7	59228053	59229848	+	1809	flat
Zfp622	chr15_72551	0.00908413442994957	0.196517700001175	0.10667705819219	chr15	26747886	26749018	+	764	flat
Aak1	chr6_172132	0.00189363612530132	0.196564875842695	0.106684260447379	chr6	85936602	85937674	+	912	flat
Mrps25	chr6_173025	0.00375394755768916	0.196657483491944	0.106716113772549	chr6	92480865	92482016	+	312	sleep
Iglon5	chr7_180504	0.0134486132313871	0.19678325685544	0.106727487384065	chr7	43480675	43481727	+	8	flat
Tbata	chr10_21802	0.00644090630486723	0.196814129987016	0.106727487384065	chr10	60696918	60697520	+	475	flat
Dgcr6	chr16_81647	0.00253375829555794	0.196801897641428	0.106727487384065	chr16	17074391	17074927	+	978	circadian
Mis18a	chr16_87412	0.00709450081103357	0.196740321280059	0.106727487384065	chr16	90628938	90629576	+	90	ampfree.step
Sertm1	chr3_129633	0.0275083121059025	0.197387637098794	0.107020040888487	chr3	54914795	54916396	+	19	sleep
Pgs1	chr11_40282	0.00137880658411184	0.197464580628493	0.10704331208962	chr11	116198236	116199521	+	1787	flat
Fbxo7	chr10_24572	0.00797190505187962	0.197698268239449	0.107151529826573	chr10	86439538	86440001	+	418	sleep
Lama2	chr10_19429	0.00457654257636962	0.197935794786008	0.107261790612267	chr10	28504841	28505443	+	1525	circadian
Golga4	chr9_210396	0.0261232300702383	0.198258052424064	0.107391843549622	chr9	118693023	118693734	+	187	flat
Wbp4	chr14_68197	0.00551761126114922	0.198234037780773	0.107391843549622	chr14	79097134	79097725	+	363	circadian
Zfp407	chr18_103457	0.0031038090622395	0.198278187064738	0.107391843549622	chr18	83195545	83196181	+	932	flat
Scap	chr9_209705	0.00819286802745118	0.198378323486683	0.107395186733711	chr9	111159425	111160016	+	826	flat
Pigh	chr12_47029	0.00348513544146042	0.198386761581059	0.107395186733711	chr12	77021801	77022245	+	2059	flat
Pigf	chr17_95147	0.00935691943119543	0.198345548481557	0.107395186733711	chr17	87011303	87011979	+	14	sleep
Npy	chr6_169472	0.00251942105440142	0.198492386543221	0.107433881176989	chr6	50414314	50415070	+	592	flat
Ccnl2	chr4_151941	0.00200125672747449	0.198585497481324	0.107465732260449	chr4	154425229	154426142	+	1387	sleep
R3hcc1	chr14_67099	0.0132273497771188	0.198619546705737	0.107465732260449	chr14	68954568	68954996	+	743	flat
Gm37095	chr1_16546	0.00408294640724873	0.198654902848426	0.107466381277976	chr1	191859820	191860339	+	859	NA
Ost4	chr5_154364	0.00196523476119345	0.199114605951511	0.10769654966625	chr5	30921081	30922172	+	16	flat
Ism1	chr2_121743	0.00470735831242157	0.199245724784297	0.107748945740258	chr2	139198074	139199038	+	480	circadian
Gm38317	chr3_126684	0.00912039044309471	0.199515519075642	0.107872401445713	chr3	13734360	13735391	+	760	NA
Akain1	chr17_93534	0.00368583143504663	0.199542586256106	0.107872401445713	chr17	70089180	70089940	+	650	NA
Mfsd12	chr10_23941	0.00185792663613172	0.199679742367957	0.10792800348886	chr10	80578465	80578692	+	779	flat
Vash1	chr12_48101	0.00148432306414228	0.199720449055943	0.107931463939311	chr12	86157941	86159382	+	520	ampfree.step
Mcmbp	chr7_187105	0.00979205775100205	0.19984641607353	0.107962450359917	chr7	127993256	127993997	+	703	flat
Gp1bb	chr16_81685	0.00220851779908756	0.199821396782555	0.107962450359917	chr16	17358769	17359406	+	1261	flat
Frmd3	chr4_144162	0.00680643673510791	0.199954229112467	0.107962886219424	chr4	73506816	73507582	+	506	ampfree.step
Gtf2ird1	chr5_163932	0.00327596869429017	0.199988670520703	0.107962886219424	chr5	135867564	135868512	+	1510	flat
Zyx	chr6_168848	0.00452328017340912	0.200000110393765	0.107962886219424	chr6	41758269	41758969	+	591	circadian
Ptpn23	chr9_209641	0.0077992095023889	0.199934754499231	0.107962886219424	chr9	110656104	110657082	+	272	sleep
